station,line_names,division,borough,subregion,Long,Lat
1 AV,L,BMT,Manhattan,14 to 42,-73.9816808748912,40.7309749758006
1 AVE,L,BMT,Manhattan,14 to 42,-73.9816808748912,40.7309749758006
103 ST,1,IRT,Manhattan,60 to 110,-73.9683789996081,40.7994460003348
103 ST,6,IRT,Manhattan,60 to 110,-73.9474780015221,40.7906000000845
103 ST,BC,IND,Manhattan,60 to 110,-73.9613700826761,40.7960607399045
103 ST-CORONA,7,IRT,Queens,,,
104 ST,A,IND,Queens,,,
104 ST,JZ,BMT,Queens,,,
110 ST,6,IRT,Manhattan,110 and above,-73.9442499968716,40.7950200001131
110 ST-CATHEDRL,1,IRT,Manhattan,110 and above,-73.9668470005456,40.8039669996148
110 ST-CPN,23,IRT,Manhattan,110 and above,-73.9518220017691,40.7990749997732
111 ST,7,IRT,Queens,,,
111 ST,A,IND,Queens,,,
111 ST,J,BMT,Queens,,,
116 ST,23,IRT,Manhattan,110 and above,-73.9496250009690,40.8020979991330
116 ST,6,IRT,Manhattan,110 and above,-73.9416169983714,40.7986290002001
116 ST,BC,IND,Manhattan,110 and above,-73.9547977805731,40.8050581334421
116 ST-COLUMBIA,1,IRT,Manhattan,110 and above,-73.9641099975775,40.8077220012308
121 ST,JZ,BMT,Queens,,,
125 ST,1,IRT,Manhattan,110 and above,-73.9583720009704,40.8155809999789
125 ST,23,IRT,Manhattan,110 and above,-73.9454950001141,40.8077539991828
125 ST,456,IRT,Manhattan,110 and above,-73.9375940005572,40.8041380005872
125 ST,ACBD,IND,Manhattan,110 and above,-73.9522479973477,40.8110716729945
135 ST,23,IRT,Manhattan,110 and above,-73.9407700010670,40.8142290003391
135 ST,BC,IND,Manhattan,110 and above,-73.9475348087921,40.8179055592126
137 ST CITY COL,1,IRT,Manhattan,110 and above,-73.9536760008787,40.8220079996847
137 ST-CITY COL,1,IRT,Manhattan,110 and above,-73.9536760008787,40.8220079996847
138 ST-3 AVE,6,IRT,Bronx,,,
138 ST-GR CONC,45,IRT,Bronx,,,
138/GRAND CONC,45,IRT,Bronx,,,
14 ST,123FLM,IRT,Manhattan,14 to 42,-74.0002010006349,40.7378259997281
14 ST,ACEL,IND,Manhattan,14 to 42,-74.0016899993702,40.7408930001932
14 ST,FLM123,IND,Manhattan,14 to 42,-73.9962089992135,40.7382279996951
14 ST-6 AVE,FLM123,IND,Manhattan,14 to 42,-73.9967960000000,40.7373280000000
14 ST-UNION SQ,456LNQR,IRT,Manhattan,14 to 42,-73.9899509988188,40.7346730009961
14 ST-UNION SQ,456LNQRW,IRT,Manhattan,14 to 42,-73.9905388618164,40.7358722669981
14 ST-UNION SQ,LNQR456,BMT,Manhattan,14 to 42,-73.9906697690181,40.7347633121792
14 ST-UNION SQ,LNQR456W,BMT,Manhattan,14 to 42,-73.9906697690181,40.7347633121792
145 ST,1,IRT,Manhattan,110 and above,-73.9503599987971,40.8265509996219
145 ST,3,IRT,Manhattan,110 and above,-73.9362449987329,40.8204209996927
145 ST,ABCD,IND,Manhattan,110 and above,-73.9440879282311,40.8247663608719
148 ST-LENOX,3,IRT,Manhattan,110 and above,-73.9364700000555,40.8238800008045
149 ST-3 AVE,25,IRT,Bronx,,,
149 ST-GR CONC,245,IRT,Bronx,,,
149/GRAND CONC,245,IRT,Bronx,,,
14TH STREET,1,PTH,Manhattan,14 to 42,-73.9968620000000,40.7373930000000
15 ST-PROSPECT,FG,IND,Brooklyn,,,
155 ST,BD,IND,Manhattan,110 and above,-73.9382089981162,40.8301349999812
155 ST,C,IND,Manhattan,110 and above,-73.9415140008220,40.8305179992925
157 ST,1,IRT,Manhattan,110 and above,-73.9448899990104,40.8340410001399
161 ST-YANKEE,4BD,IRT,Bronx,,,
161 ST-YANKEE,BD4,IND,Bronx,,,
161/YANKEE STAD,4BD,IRT,Bronx,,,
161/YANKEE STAD,BD4,IND,Bronx,,,
163 ST-AMSTERDM,C,IND,Manhattan,110 and above,-73.9398920018834,40.8360129992309
167 ST,4,IRT,Bronx,,,
167 ST,BD,IND,Bronx,,,
168 ST,1AC,IRT,Manhattan,110 and above,-73.9401329990725,40.8405559991485
168 ST,AC1,IND,Manhattan,110 and above,-73.9395609998542,40.8407189999079
168 ST-BROADWAY,1AC,IRT,Manhattan,110 and above,-73.9401329990725,40.8405559991485
168 ST-BROADWAY,AC1,IND,Manhattan,110 and above,-73.9395609998542,40.8407189999079
169 ST,F,IND,Queens,,,
170 ST,4,IRT,Bronx,,,
170 ST,BD,IND,Bronx,,,
174 ST,25,IRT,Bronx,,,
174-175 ST,BD,IND,Bronx,,,
174-175 STS,BD,IND,Bronx,,,
175 ST,A,IND,Manhattan,110 and above,-73.9397039976159,40.8473910007240
176 ST,4,IRT,Bronx,,,
18 AV,D,BMT,Brooklyn,,,
18 AV,F,IND,Brooklyn,,,
18 AV,N,BMT,Brooklyn,,,
18 AVE,D,BMT,Brooklyn,,,
18 AVE,F,IND,Brooklyn,,,
18 AVE,N,BMT,Brooklyn,,,
18 ST,1,IRT,Manhattan,14 to 42,-73.9978710006040,40.7410399998021
