C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2023,00:00:00,REGULAR,0007848247,0002798145
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2023,04:00:00,REGULAR,0007848253,0002798151
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2023,08:00:00,REGULAR,0007848260,0002798173
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2023,12:00:00,REGULAR,0007848299,0002798246
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2023,16:00:00,REGULAR,0007848382,0002798308
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/25/2023,20:00:00,REGULAR,0007848482,0002798344
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2023,00:00:00,REGULAR,0007848530,0002798374
A002,R051,02-00-00,59 ST,NQR456W,BMT,03/26/2023,04:00:00,REGULAR,0007848539,0002798377
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2023,00:00:00,REGULAR,0007848247,0002798145
A002,R051,02-00-01,59 ST,NQR456W,BMT,03/25/2023,04:00:00,REGULAR,0007848253,0002798151
R417,R222,00-03-02,PARKCHESTER,6,IRT,03/31/2023,09:00:00,REGULAR,0000076712,0001161942
R417,R222,00-03-02,PARKCHESTER,6,IRT,03/31/2023,13:00:00,REGULAR,0000076728,0001162136
R417,R222,00-03-02,PARKCHESTER,6,IRT,03/31/2023,17:00:00,REGULAR,0000076768,0001162804
R417,R222,00-03-02,PARKCHESTER,6,IRT,03/31/2023,21:00:00,REGULAR,0000076784,0001163490
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/25/2023,01:00:00,REGULAR,0000138470,0001306049
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/25/2023,05:00:00,REGULAR,0000138476,0001306127
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/25/2023,09:00:00,REGULAR,0000138505,0001306238
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/25/2023,13:00:00,REGULAR,0000138537,0001306385
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/25/2023,17:00:00,REGULAR,0000138575,0001306669
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/25/2023,21:00:00,REGULAR,0000138581,0001306940
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/26/2023,01:00:00,REGULAR,0000138589,0001307144
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/26/2023,05:00:00,REGULAR,0000138590,0001307226
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/26/2023,09:00:00,REGULAR,0000138598,0001307292
R417,R222,00-03-03,PARKCHESTER,6,IRT,03/26/2023,13:00:00,REGULAR,0000138609,0001307415
